,FTA-INV,FTA-INS,FTA-SWP,FTA-INB,FTA-ML,GA-INV,GA-INS,GA-SWP,GA-INB,GA-ML,SA-INV,SA-INS,SA-SWP,SA-INB,SA-ML,PSO-INV,PSO-INS,PSO-SWP,PSO-INB,PSO-ML,SS-INV,SS-INS,SS-SWP,SS-INB,SS-ML,NEH,NEH-B,BS-AM,BS-GDEL,BS-IO,BS-LACC,BS-NA,BS-SA,RL-AM,RL-GDEL,RL-IO,RL-LACC,RL-NA,RL-SA,RPD-AM,RPD-GDEL,RPD-IO,RPD-LACC,RPD-NA,RPD-SA,SR-AM,SR-GDEL,SR-IO,SR-LACC,SR-NA,SR-SA,BSHH,QLHH
80_320_1,0.1124,0.1120,0.1009,0.0637,0.0797,0.1333,0.1432,0.1079,0.0934,0.1285,0.1043,0.0926,0.0909,0.0600,0.0713,0.1073,0.1038,0.0866,0.0606,0.0769,0.1178,0.1153,0.0919,0.0696,0.0868,0.1953,0.1800,0.1628,0.0871,0.0925,0.1386,0.1784,0.0866,0.1663,0.0531,0.0446,0.1420,0.1665,0.0447,0.1491,0.1543,0.0286,0.1227,0.1518,0.0747,0.1715,0.0663,0.0718,0.1439,0.1692,0.0686,0.1464,0.1087
80_320_2,0.1355,0.1252,0.1200,0.0779,0.1021,0.1541,0.1583,0.1367,0.1107,0.1519,0.1238,0.1041,0.1170,0.0691,0.0903,0.1229,0.1082,0.1104,0.0736,0.0963,0.1355,0.1302,0.1079,0.0836,0.1054,0.2206,0.2286,0.1937,0.1136,0.1001,0.1663,0.1976,0.0976,0.1902,0.0741,0.0497,0.1636,0.1904,0.0474,0.1736,0.1798,0.0355,0.1479,0.1774,0.0841,0.1942,0.0830,0.0846,0.1670,0.1911,0.0842,0.1717,0.1311
80_320_3,0.1189,0.1146,0.1045,0.0603,0.0800,0.1404,0.1398,0.1196,0.0827,0.1352,0.1043,0.0928,0.1032,0.0492,0.0684,0.1004,0.1026,0.0884,0.0505,0.0732,0.1205,0.1179,0.0939,0.0595,0.0816,0.1993,0.1645,0.1794,0.1001,0.0868,0.1548,0.1799,0.0753,0.1705,0.0539,0.0449,0.1441,0.1713,0.0387,0.1548,0.1549,0.0310,0.1265,0.1519,0.0696,0.1750,0.0629,0.0679,0.1486,0.1722,0.0726,0.1533,0.1116
80_320_4,0.1071,0.0987,0.0934,0.0520,0.0689,0.1284,0.1322,0.1009,0.0753,0.1137,0.0949,0.0881,0.0881,0.0445,0.0652,0.0915,0.0798,0.0840,0.0456,0.0591,0.1082,0.1044,0.0838,0.0559,0.0775,0.1803,0.1894,0.1605,0.0786,0.0762,0.1223,0.1635,0.0737,0.1585,0.0402,0.0322,0.1327,0.1560,0.0343,0.1439,0.1455,0.0297,0.1145,0.1434,0.0631,0.1619,0.0571,0.0622,0.1349,0.1592,0.0608,0.1384,0.1024
80_320_5,0.1148,0.1129,0.0999,0.0626,0.0751,0.1316,0.1447,0.1128,0.0920,0.1214,0.1011,0.0976,0.0883,0.0535,0.0676,0.1022,0.0977,0.0884,0.0521,0.0825,0.1177,0.1110,0.0904,0.0657,0.0836,0.1949,0.1791,0.1719,0.0930,0.0826,0.1344,0.1747,0.0707,0.1682,0.0480,0.0353,0.1419,0.1693,0.0299,0.1530,0.1557,0.0230,0.1251,0.1519,0.0711,0.1727,0.0696,0.0625,0.1461,0.1698,0.0662,0.1509,0.1103
80_320_6,0.1157,0.1173,0.1048,0.0636,0.0868,0.1397,0.1452,0.1233,0.0962,0.1321,0.1091,0.0998,0.1026,0.0553,0.0807,0.1075,0.1017,0.0926,0.0597,0.0731,0.1189,0.1180,0.0933,0.0670,0.0818,0.1919,0.1945,0.1677,0.1124,0.0811,0.1326,0.1704,0.0842,0.1677,0.0626,0.0444,0.1435,0.1666,0.0432,0.1514,0.1575,0.0212,0.1223,0.1533,0.0794,0.1700,0.0706,0.0693,0.1440,0.1695,0.0748,0.1496,0.1124
80_320_7,0.1065,0.1097,0.0997,0.0622,0.0833,0.1361,0.1371,0.1090,0.0993,0.1220,0.1014,0.0928,0.0898,0.0613,0.0722,0.1017,0.0920,0.0939,0.0625,0.0766,0.1138,0.1099,0.0887,0.0665,0.0870,0.1861,0.1950,0.1668,0.1072,0.0790,0.1464,0.1644,0.0740,0.1632,0.0468,0.0384,0.1353,0.1636,0.0358,0.1494,0.1522,0.0305,0.1220,0.1469,0.0620,0.1685,0.0652,0.0667,0.1419,0.1648,0.0616,0.1470,0.1076
80_320_8,0.1075,0.1145,0.1011,0.0641,0.0859,0.1300,0.1335,0.1130,0.0874,0.1161,0.1001,0.0902,0.0884,0.0645,0.0766,0.0981,0.0895,0.0902,0.0610,0.0733,0.1154,0.1070,0.0866,0.0674,0.0775,0.1848,0.1354,0.1668,0.0913,0.0928,0.1353,0.1658,0.0922,0.1627,0.0564,0.0388,0.1353,0.1608,0.0403,0.1460,0.1467,0.0274,0.1196,0.1487,0.0646,0.1660,0.0693,0.0695,0.1406,0.1650,0.0670,0.1445,0.1040
80_320_9,0.1369,0.1315,0.1287,0.0846,0.1067,0.1642,0.1682,0.1520,0.1247,0.1372,0.1253,0.1153,0.1173,0.0814,0.0969,0.1247,0.1168,0.1160,0.0797,0.0954,0.1420,0.1369,0.1153,0.0928,0.1113,0.2206,0.2064,0.2011,0.1228,0.1149,0.1794,0.1941,0.1011,0.1948,0.0781,0.0524,0.1691,0.1950,0.0612,0.1810,0.1834,0.0373,0.1508,0.1865,0.0860,0.1996,0.0906,0.0949,0.1727,0.1967,0.0925,0.1751,0.1366
80_320_10,0.1208,0.1224,0.1132,0.0756,0.0948,0.1474,0.1532,0.1233,0.1088,0.1362,0.1127,0.1034,0.1098,0.0692,0.0787,0.1134,0.1230,0.1022,0.0689,0.0914,0.1255,0.1226,0.1012,0.0748,0.0889,0.1991,0.1978,0.1803,0.1066,0.0992,0.1459,0.1809,0.0946,0.1752,0.0646,0.0507,0.1486,0.1749,0.0535,0.1595,0.1589,0.0382,0.1315,0.1559,0.0786,0.1801,0.0761,0.0838,0.1523,0.1768,0.0811,0.1578,0.1211
200_200_1,0.0960,0.0980,0.0860,0.0594,0.0702,0.1063,0.1243,0.1002,0.0947,0.0983,0.0923,0.0941,0.0824,0.0568,0.0645,0.0908,0.0948,0.0804,0.0575,0.0649,0.0933,0.0948,0.0757,0.0565,0.0661,0.1516,0.0953,0.1364,0.0770,0.0899,0.1042,0.1369,0.0762,0.1222,0.0510,0.0447,0.1003,0.1210,0.0458,0.1105,0.1112,0.0379,0.0909,0.1110,0.0666,0.1285,0.0609,0.0568,0.1024,0.1233,0.0570,0.1052,0.0733
